rank,videoId,title,channelTitle,publishedAt,region,type,firstSeen,lastSeen,isTracking,url,viewHistory,hashtags,likeHistory,commentHistory,durationSeconds
15,wWxFQtQ6cZw,चिंटू ने पापा का कोल्डड्रिंक चुराया 🥵 | #viral #facts #shortvideo #ai,SHORTCUT RIXX,2025-09-12T13:12:44Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=wWxFQtQ6cZw,"6,338,547","#viral,#facts,#shortvideo,#ai",23605,1,8
16,AseNjUXFTmI,danger movement 🤣 #cat #meme #dance #trending,Real Haru,2025-09-12T08:30:08Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=AseNjUXFTmI,"6,274,966",,27379,12,6
17,CDRAK9ucoC8,Dulhan ny Apny dulhy ko khabardar kar dia #shorts #viralvideo #trending #love #shortvideo #foryou,PullsUp,2025-09-13T15:56:37Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=CDRAK9ucoC8,"6,082,780","#shorts,#viralvideo,#trending,#love,#shortvideo,#foryou",17912,68,6
18,RkazQEHfTaY,A Dance Teacher's Competitive Fire 🔥#funny #dance #fyp #trending #foryou #cute,ywddxwls,2025-09-13T02:25:05Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=RkazQEHfTaY,"5,844,876","#funny,#dance,#fyp,#trending,#foryou,#cute",40480,52,21
19,0h6hBFUf2rQ,लगा दे आग पानी में जवानी उसे कहते हैं #indian_idol #trending #viral #funny #youtube #shorts,Pujan Kumar Official ,2025-09-13T07:05:35Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0h6hBFUf2rQ,"5,735,878","#indian_idol,#trending,#viral,#funny,#youtube,#shorts",31832,12,19
20,BAUTCSRPcNc,Papa got me a new bike 🏍️ 😂 || Harsh patel || #shorts #viral #trending #comedy #harshpatel,Harsh ,2025-09-12T06:31:00Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=BAUTCSRPcNc,"5,734,502","#shorts,#viral,#trending,#comedy,#harshpatel",56816,66,60
1,SNr9z_BNyNM,Gabby Gelembung Sabun #funny #fyp #viral #shorts,VOSSTONN,2025-09-13T15:35:59Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=SNr9z_BNyNM,"51,239,548","#funny,#fyp,#viral,#shorts",150608,42,6
2,tO8bhPHAWN0,The last moments of the greatest lion in history #viral #shorts #youtube #video,Animal sound edit,2025-09-12T12:49:14Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=tO8bhPHAWN0,"34,238,067","#viral,#shorts,#youtube,#video",721438,4428,21
3,0Qe1XMBHejU,Wait for last #shorts #viralshorts #trending #thimingalam #whatsappstatus,Thimingalam ,2025-09-13T12:30:02Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0Qe1XMBHejU,"27,414,878","#shorts,#viralshorts,#trending,#thimingalam,#whatsappstatus",168363,18,26
4,IO6UPFJAqcA,"""7 in 1 best gujiya folding trick unlocked.""🤯😉🤪 #relatable #trending #shorts",Radhika Maroo,2025-09-12T08:31:00Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=IO6UPFJAqcA,"11,747,360","#relatable,#trending,#shorts,#radhikamaroo",157569,668,22
